frame_idx,track_id,class_name,x1,y1,x2,y2,cx,cy,vx,vy,confidence,age_frames
119,5,car,690.27,389.5,772.59,514.33,731.43,451.92,0,0,0.5096,0
120,1,car,588.77,114.33,649.0,198.07,618.89,156.2,-1.28,-4.3504,0.6762,76
120,2,car,646.25,98.69,720.02,198.46,683.14,148.58,-1.5002,-3.6971,0.0,68
120,3,person,653.22,425.28,838.74,541.85,745.98,483.56,-0.4444,-1.3831,0.0,25
120,4,car,327.83,221.31,380.89,316.31,354.36,268.81,1.0772,3.6734,0.3592,2
120,5,car,688.56,384.27,770.45,508.35,729.5,446.31,-1.9248,-5.6016,0.7494,1
121,1,car,587.51,110.99,648.23,195.18,617.87,153.08,-1.0171,-3.1184,0.5826,77
121,2,car,644.83,95.11,718.44,194.66,681.64,144.88,-1.5002,-3.6971,0.0,69
121,3,person,650.45,422.43,840.61,541.92,745.53,482.18,-0.4444,-1.3831,0.0,26
121,4,car,328.6,224.1,381.76,319.27,355.18,271.69,0.8241,2.8763,0.0,3
121,5,car,687.81,379.92,768.07,501.51,727.94,440.72,-1.5628,-5.5978,0.5691,2
122,1,car,584.98,106.35,647.09,192.63,616.03,149.49,-1.8355,-3.5905,0.6421,78
122,2,car,643.41,91.52,716.86,190.85,680.14,141.18,-1.5002,-3.6971,0.0,70
122,3,person,647.68,419.59,842.49,542.0,745.09,480.8,-0.4444,-1.3831,0.0,27
122,4,car,329.17,228.18,383.46,325.17,356.31,276.67,1.1321,4.9869,0.36,4
122,5,car,686.16,374.67,765.76,495.18,725.96,434.92,-1.9844,-5.7916,0.6189,3
123,1,car,583.96,102.41,645.47,187.67,614.72,145.04,-1.3181,-4.4514,0.5253,79
123,2,car,641.64,90.38,712.66,186.53,677.15,138.46,-2.9878,-2.729,0.3786,71
123,3,person,644.92,416.75,844.37,542.08,744.64,479.41,-0.4444,-1.3831,0.0,28
123,4,car,330.25,232.41,384.54,329.36,357.39,280.88,1.08,4.2085,0.4221,5
123,5,car,684.07,370.17,763.3,489.99,723.69,430.08,-2.2687,-4.8466,0.6062,4
124,1,car,582.9,99.92,643.21,183.24,613.05,141.58,-1.6612,-3.4605,0.496,80
124,2,car,641.12,87.31,711.0,182.04,676.06,134.67,-1.0857,-3.7812,0.4379,72
